operational_id,item_id,operational_class,source_width,source_height,detected_box_count,accepted_box_count,person_detected,confidence,box_area_ratio,crop_box
PFV4_SCREEN_0018,P4D_PLAN::PF_P4D_HN_SIT_G011_V03,normal_negative,1920,1080,1,1,true,0.9159250855445862,0.09676683837986612,"591,324,1306,836"
PFV4_SCREEN_0019,P4D_PLAN::PF_P4D_HN_SIT_G011_V04,normal_negative,1920,1080,1,1,true,0.8847180604934692,0.0937284245044726,"595,334,1386,783"
PFV4_SCREEN_0020,P4D_PLAN::PF_P4D_HN_SIT_G011_V05,normal_negative,1920,1080,1,1,true,0.9007091522216797,0.04194942761620041,"852,334,1205,785"
PFV4_SCREEN_0021,P4D_PLAN::PF_P4D_HN_SIT_G012_V01,normal_negative,1920,1080,2,2,true,0.7866939306259155,0.08495952846482935,"726,227,1290,797"
PFV4_SCREEN_0022,P4D_PLAN::PF_P4D_HN_SIT_G012_V02,normal_negative,1920,1080,1,1,true,0.8720047473907471,0.040871083521385486,"738,345,1095,780"
PFV4_SCREEN_0023,P4D_PLAN::PF_P4D_HN_SIT_G012_V03,normal_negative,1920,1080,1,1,true,0.8945081233978271,0.06909324171020144,"435,403,1091,802"
PFV4_SCREEN_0024,P4D_PLAN::PF_P4D_HN_SIT_G012_V04,normal_negative,1920,1080,1,1,true,0.9471496343612671,0.1634639337285922,"708,259,1485,1054"
PFV4_SCREEN_0025,P4D_PLAN::PF_P4D_HN_SIT_G012_V05,normal_negative,1920,1080,1,1,true,0.886029064655304,0.073199851092973,"713,277,1263,782"
PFV4_SCREEN_0026,P4D_PLAN::PF_P4D_HN_KNEEL_G008_V01,normal_negative,1920,1080,1,1,true,0.8178139328956604,0.016180146070756664,"970,417,1154,752"
PFV4_SCREEN_0027,P4D_PLAN::PF_P4D_HN_KNEEL_G008_V02,normal_negative,1920,1080,1,1,true,0.9215810894966125,0.1367437173978585,"592,188,1211,1024"
PFV4_SCREEN_0028,P4D_PLAN::PF_P4D_HN_KNEEL_G008_V03,normal_negative,1920,1080,1,1,true,0.9282762408256531,0.14078163830407217,"521,269,1407,871"
PFV4_SCREEN_0029,P4D_PLAN::PF_P4D_HN_KNEEL_G008_V04,normal_negative,1920,1080,1,1,true,0.9150317907333374,0.18055956036777288,"753,220,1689,950"
PFV4_SCREEN_0030,P4D_PLAN::PF_P4D_HN_KNEEL_G008_V05,normal_negative,1920,1080,2,2,true,0.9000956416130066,0.1668518502179628,"739,184,1494,1020"
PFV4_SCREEN_0031,P4D_PLAN::PF_P4D_HN_KNEEL_G009_V01,normal_negative,1920,1080,1,1,true,0.8312716484069824,0.11049132262240029,"664,126,1140,1004"
PFV4_SCREEN_0032,P4D_PLAN::PF_P4D_HN_KNEEL_G009_V02,normal_negative,1920,1080,1,1,true,0.9212668538093567,0.11721656717682677,"523,121,1145,834"
PFV4_SCREEN_0033,P4D_PLAN::PF_P4D_HN_KNEEL_G009_V03,normal_negative,1920,1080,1,1,true,0.9093979001045227,0.15166204766890992,"799,291,1684,940"
PFV4_SCREEN_0034,P4D_PLAN::PF_P4D_HN_KNEEL_G009_V04,normal_negative,1920,1080,1,1,true,0.9244685173034668,0.10672836368875492,"467,238,1088,888"
PFV4_SCREEN_0035,P4D_PLAN::PF_P4D_HN_KNEEL_G009_V05,normal_negative,1920,1080,1,1,true,0.8875008821487427,0.08552384997138116,"919,235,1370,954"
PFV4_SCREEN_0036,P4D_PLAN::PF_P4D_HN_MAINT_G006_V01,normal_negative,1920,1080,1,1,true,0.8899680972099304,0.1079960323056173,"496,226,1226,786"
PFV4_SCREEN_0037,P4D_PLAN::PF_P4D_HN_SQUAT_G006_V01,normal_negative,1920,1080,1,1,true,0.9235628843307495,0.13171774860371915,"689,161,1322,948"
PFV4_SCREEN_0038,P4D_PLAN::PF_P4D_HN_SQUAT_G006_V02,normal_negative,1920,1080,1,1,true,0.901392936706543,0.07748656145883918,"639,263,1207,780"
PFV4_SCREEN_0039,P4D_PLAN::PF_P4D_HN_SQUAT_G006_V03,normal_negative,1920,1080,1,0,false,,,"0,0,1920,1080"
PFV4_SCREEN_0040,P4D_PLAN::PF_P4D_HN_SQUAT_G006_V04,normal_negative,1920,1080,1,1,true,0.9066240787506104,0.057433928241134934,"651,404,1128,860"
PFV4_SCREEN_0041,P4D_PLAN::PF_P4D_HN_SQUAT_G006_V05,normal_negative,1920,1080,1,1,true,0.9129873514175415,0.11674827873664778,"719,180,1309,928"
PFV4_SCREEN_0042,P4D_PLAN::PF_P4D_HN_MIX_G003_V01,normal_negative,1920,1080,1,1,true,0.86903977394104,0.1304779584460284,"853,121,1870,607"
PFV4_SCREEN_0043,P4D_PLAN::PF_P4D_HN_MIX_G003_V02,normal_negative,1920,1080,1,1,true,0.9401335120201111,0.18713074527860796,"544,208,1469,974"
PFV4_SCREEN_0044,P4D_PLAN::PF_P4D_HN_MIX_G003_V03,normal_negative,1920,1080,1,1,true,0.8662121295928955,0.01745056234373435,"797,370,1006,689"
PFV4_SCREEN_0045,P4D_PLAN::PF_P4D_HN_MIX_G003_V04,normal_negative,1920,1080,0,0,false,,,"0,0,1920,1080"
PFV4_SCREEN_0046,P4D_PLAN::PF_P4D_HN_MIX_G003_V05,normal_negative,1920,1080,1,1,true,0.6610065698623657,0.07382495182178293,"631,229,1476,560"
PFV4_SCREEN_0047,P4D_PLAN::PF_P4D_POS_SUPINE_G004_V01,ground_lying,1920,1080,2,2,true,0.3811466693878174,0.04043354005226309,"533,475,1356,662"
PFV4_SCREEN_0048,P4D_PLAN::PF_P4D_POS_SUPINE_G004_V02,ground_lying,1920,1080,1,1,true,0.9139871597290039,0.14126359581189818,"293,469,1513,907"
PFV4_SCREEN_0049,P4D_PLAN::PF_P4D_POS_SUPINE_G004_V03,ground_lying,1920,1080,1,1,true,0.9077584743499756,0.2440790193151002,"4,420,1533,1024"
PFV4_SCREEN_0050,P4D_PLAN::PF_P4D_POS_SUPINE_G004_V04,ground_lying,1920,1080,1,1,true,0.8406839966773987,0.08020443466633743,"369,582,1476,857"
PFV4_SCREEN_0051,P4D_PLAN::PF_P4D_POS_SUPINE_G004_V05,ground_lying,1920,1080,1,1,true,0.8942239880561829,0.050366924864259394,"598,453,1210,766"
PFV4_SCREEN_0052,P4D_PLAN::PF_P4D_POS_PRONE_G004_V01,ground_lying,1920,1080,2,2,true,0.7942655086517334,0.05806293235402942,"462,505,1540,710"
PFV4_SCREEN_0053,P4D_PLAN::PF_P4D_POS_PRONE_G004_V02,ground_lying,1920,1080,1,1,true,0.8367817401885986,0.05737118718323742,"493,513,1529,723"
PFV4_SCREEN_0054,P4D_PLAN::PF_P4D_POS_PRONE_G004_V03,ground_lying,1920,1080,1,1,true,0.9245839715003967,0.11352523764459123,"628,361,1397,920"
PFV4_SCREEN_0055,P4D_PLAN::PF_P4D_POS_PRONE_G004_V04,ground_lying,1920,1080,1,1,true,0.8576474785804749,0.12317395282370314,"172,451,1645,768"
PFV4_SCREEN_0056,P4D_PLAN::PF_P4D_POS_PRONE_G004_V05,ground_lying,1920,1080,1,1,true,0.179463192820549,0.043815986420781376,"558,635,1347,846"
PFV4_SCREEN_0057,P4D_PLAN::PF_P4D_POS_SIDE_G003_V01,ground_lying,1920,1080,1,1,true,0.9115438461303711,0.23290710100786075,"217,260,1719,846"
PFV4_SCREEN_0058,P4D_PLAN::PF_P4D_POS_SIDE_G003_V02,ground_lying,1920,1080,1,1,true,0.7732588052749634,0.12017052916188227,"480,397,1602,803"
PFV4_SCREEN_0059,P4D_PLAN::PF_P4D_POS_SIDE_G003_V03,ground_lying,1920,1080,3,3,true,0.9266721606254578,0.1702660691791809,"230,428,1657,880"
PFV4_SCREEN_0060,P4D_PLAN::PF_P4D_POS_SIDE_G003_V04,ground_lying,1920,1080,1,1,true,0.9168131947517395,0.07424662039779058,"579,453,1628,721"
PFV4_SCREEN_0061,P4D_PLAN::PF_P4D_POS_SIDE_G003_V05,ground_lying,1920,1080,1,1,true,0.9054164290428162,0.06703019254826359,"706,470,1450,811"
PFV4_SCREEN_0062,P4D_PLAN::PF_P4D_POS_CURLED_G003_V01,ground_lying,1920,1080,1,1,true,0.8884856700897217,0.08019365216602131,"599,618,1463,969"
PFV4_SCREEN_0063,P4D_PLAN::PF_P4D_POS_CURLED_G003_V02,ground_lying,1920,1080,1,1,true,0.858041524887085,0.1429026566989099,"596,334,1514,923"
PFV4_SCREEN_0064,P4D_PLAN::PF_P4D_POS_CURLED_G003_V03,ground_lying,1920,1080,3,2,true,0.8588947057723999,0.16576536685767668,"227,377,1546,852"
PFV4_SCREEN_0065,P4D_PLAN::PF_P4D_POS_CURLED_G003_V04,ground_lying,1920,1080,1,1,true,0.8938969373703003,0.0662175583942798,"758,457,1581,762"
PFV4_SCREEN_0066,P4D_PLAN::PF_P4D_POS_CURLED_G003_V05,ground_lying,1920,1080,1,1,true,0.8484578728675842,0.06605113351273488,"829,325,1388,773"
PFV4_SCREEN_0067,P4D_PLAN::PF_P4D_POS_CORRIDOR_G001_V01,ground_lying,1920,1080,1,1,true,0.8670290112495422,0.19932684520662103,"28,409,1920,804"
PFV4_SCREEN_0068,P4D_PLAN::PF_P4D_POS_CORRIDOR_G001_V02,ground_lying,1920,1080,1,1,true,0.7829219698905945,0.059736796929695024,"561,566,1399,836"
PFV4_SCREEN_0069,P4D_PLAN::PF_P4D_POS_CORRIDOR_G001_V03,ground_lying,1920,1080,1,1,true,0.8718100786209106,0.08245270833482479,"648,543,1653,854"
PFV4_SCREEN_0070,P4D_PLAN::PF_P4D_POS_CORRIDOR_G001_V04,ground_lying,1920,1080,1,1,true,0.9227204918861389,0.14909779494629927,"388,431,1468,954"
PFV4_SCREEN_0071,P4D_PLAN::PF_P4D_POS_CORRIDOR_G001_V05,ground_lying,1920,1080,1,1,true,0.8765884637832642,0.07848733847710843,"764,402,1613,752"
PFV4_SCREEN_0072,P4D_PLAN::PF_P4D_NEG_STAND_G003_V01,normal_negative,1920,1080,1,1,true,0.9300634860992432,0.09713096295337892,"1033,0,1408,964"
PFV4_SCREEN_0073,P4D_PLAN::PF_P4D_NEG_STAND_G003_V02,normal_negative,1920,1080,1,1,true,0.9167185425758362,0.15617251794101322,"366,0,897,1072"
PFV4_SCREEN_0074,P4D_PLAN::PF_P4D_NEG_STAND_G003_V03,normal_negative,1920,1080,3,3,true,0.9209858179092407,0.17416747658171247,"695,0,1224,1080"
PFV4_SCREEN_0075,P4D_PLAN::PF_P4D_NEG_STAND_G003_V04,normal_negative,1920,1080,1,1,true,0.8898094296455383,0.12602349655338912,"696,0,1091,1080"
PFV4_SCREEN_0076,P4D_PLAN::PF_P4D_NEG_STAND_G003_V05,normal_negative,1920,1080,1,1,true,0.92686527967453,0.03602147706920126,"744,272,1025,758"
